,cifar10_train,cifar10_test,fmnist_train,fmnist_test,mnist_train,mnist_test,svhn_train,svhn_test,avg_train,avg_test
0,0.9992,0.7759,0.9987,0.9306,0.9999,0.9926,0.9992,0.8964,0.9992,0.8989
1,0.6598,0.6459,0.9020,0.8910,0.9756,0.9763,0.8378,0.8090,0.8438,0.8306
2,0.5313,0.5223,0.8576,0.8516,0.9475,0.9531,0.7221,0.7091,0.7646,0.7590
