,cifar10_train,cifar10_test,fmnist_train,fmnist_test,mnist_train,mnist_test,svhn_train,svhn_test,avg_train,avg_test
0,0.0120,0.9009,0.0095,0.2830,0.0004,0.0279,0.0049,0.4881,0.0067,0.4250
1,1.4768,1.5375,0.4949,0.5751,0.1065,0.0955,0.8725,1.0391,0.7377,0.8118
2,1.6894,1.7314,0.6241,0.6626,0.1967,0.1727,1.1928,1.2810,0.9257,0.9619
