,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
134,lira,12,class,1,2500,2500,0.0332,0.7273,0.5183,0.1040,0.0008
135,lira,12,class,2,2500,2500,0.0196,1.0000,0.5049,0.1120,0.0036
136,lira,12,class,3,2500,2500,0.0432,0.6176,0.5262,0.1344,0.0008
137,lira,12,class,4,2500,2500,0.0340,0.5614,0.5126,0.1016,0.0000
138,lira,12,class,5,2500,2500,0.0432,0.6154,0.5236,0.1148,0.0012
139,lira,12,class,6,2500,2500,0.0296,0.7727,0.5181,0.1228,0.0016
140,lira,12,class,7,2500,2500,0.0424,0.6087,0.5216,0.1260,0.0008
141,lira,12,class,8,2500,2500,0.0132,0.7500,0.4987,0.0924,0.0016
142,lira,12,class,9,2500,2500,0.0336,0.6081,0.5151,0.1124,0.0008
143,lira,13,Entire dataset,,25000,25000,0.0218,0.6908,0.5132,0.1075,0.0016
144,lira,13,class,0,2500,2500,0.0296,0.8333,0.5093,0.1152,0.0020
145,lira,13,class,1,2500,2500,0.0412,0.8333,0.5215,0.1068,0.0008
146,lira,13,class,2,2500,2500,0.0368,1.0000,0.5138,0.1028,0.0028
147,lira,13,class,3,2500,2500,0.0224,0.6207,0.5112,0.1088,0.0008
148,lira,13,class,4,2500,2500,0.0284,1.0000,0.5092,0.1048,0.0020
149,lira,13,class,5,2500,2500,0.0468,0.6308,0.5255,0.1116,0.0000
150,lira,13,class,6,2500,2500,0.0268,0.6667,0.5103,0.1156,0.0012
151,lira,13,class,7,2500,2500,0.0540,1.0000,0.5286,0.1128,0.0036
152,lira,13,class,8,2500,2500,0.0212,0.8333,0.5003,0.0884,0.0008
153,lira,13,class,9,2500,2500,0.0260,0.7692,0.5055,0.1048,0.0012
154,lira,14,Entire dataset,,25000,25000,0.0264,0.6149,0.5179,0.1108,0.0012
155,lira,14,class,0,2500,2500,0.0472,0.7500,0.5249,0.1256,0.0012
156,lira,14,class,1,2500,2500,0.0232,0.6667,0.5066,0.0980,0.0004
157,lira,14,class,2,2500,2500,0.0400,0.7273,0.5260,0.1268,0.0012
158,lira,14,class,3,2500,2500,0.0308,0.6190,0.5181,0.1204,0.0008
159,lira,14,class,4,2500,2500,0.0436,1.0000,0.5212,0.1232,0.0052
160,lira,14,class,5,2500,2500,0.0464,1.0000,0.5270,0.1132,0.0024
161,lira,14,class,6,2500,2500,0.0392,0.6667,0.5221,0.1096,0.0004
162,lira,14,class,7,2500,2500,0.0340,0.6000,0.5116,0.1032,0.0004
163,lira,14,class,8,2500,2500,0.0296,0.5714,0.5080,0.1032,0.0004
164,lira,14,class,9,2500,2500,0.0372,0.7778,0.5178,0.1188,0.0028
165,lira,15,Entire dataset,,25000,25000,0.0231,0.7714,0.5138,0.1076,0.0018
166,lira,15,class,0,2500,2500,0.0396,1.0000,0.5172,0.0984,0.0000
167,lira,15,class,1,2500,2500,0.0532,0.8182,0.5266,0.1152,0.0004
168,lira,15,class,2,2500,2500,0.0424,0.8000,0.5211,0.1096,0.0016
169,lira,15,class,3,2500,2500,0.0236,0.6154,0.5075,0.1176,0.0004
170,lira,15,class,4,2500,2500,0.0396,0.5340,0.5228,0.1028,0.0000
171,lira,15,class,5,2500,2500,0.0248,0.7692,0.5117,0.1068,0.0012
172,lira,15,class,6,2500,2500,0.0316,0.8333,0.5101,0.1004,0.0020
173,lira,15,class,7,2500,2500,0.0208,0.7500,0.5097,0.1156,0.0012
174,lira,15,class,8,2500,2500,0.0192,0.7500,0.4974,0.0964,0.0004
175,lira,15,class,9,2500,2500,0.0304,1.0000,0.5139,0.1140,0.0020
176,lira,16,Entire dataset,,25000,25000,0.0298,0.6200,0.5171,0.1069,0.0012
177,lira,16,class,0,2500,2500,0.0224,0.7500,0.5064,0.1112,0.0012
178,lira,16,class,1,2500,2500,0.0364,0.7143,0.5174,0.1032,0.0008
179,lira,16,class,2,2500,2500,0.0456,0.8750,0.5275,0.1180,0.0028
180,lira,16,class,3,2500,2500,0.0624,0.5625,0.5357,0.1136,0.0004
181,lira,16,class,4,2500,2500,0.0272,0.8000,0.5127,0.1040,0.0024
182,lira,16,class,5,2500,2500,0.0484,0.7500,0.5262,0.1156,0.0012
183,lira,16,class,6,2500,2500,0.0392,0.5188,0.5152,0.0952,0.0000
184,lira,16,class,7,2500,2500,0.0384,0.7000,0.5133,0.1036,0.0012
185,lira,16,class,8,2500,2500,0.0172,0.7000,0.5009,0.0984,0.0000
186,lira,16,class,9,2500,2500,0.0480,0.5476,0.5213,0.1164,0.0000
187,lira,17,Entire dataset,,25000,25000,0.0260,0.6047,0.5164,0.1082,0.0014
188,lira,17,class,0,2500,2500,0.0436,0.7500,0.5187,0.0976,0.0000
189,lira,17,class,1,2500,2500,0.0440,0.6667,0.5213,0.1180,0.0004
