name,type,accuracy,f1-score,precision,recall,loss,class-wise
covid19-radiography,train,0.8863,0.8792,0.8895,0.8727,0.5042,"{'0': 0.9085243712441576, '1': 0.8499452354874042}"
covid19-radiography,test,0.8614,0.8517,0.8658,0.8440,0.6482,"{'0': 0.8895417156286721, '1': 0.8138613861386138}"
