,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,36625,36632,0.0169,0.6040,0.5093,0.1017,0.0011
1,lira,0,class,0,2474,2474,0.0287,0.6667,0.5062,0.0914,0.0004
2,lira,0,class,1,6930,6931,0.0260,0.6087,0.5108,0.0991,0.0006
3,lira,0,class,2,5292,5293,0.0173,0.7778,0.5088,0.1030,0.0013
4,lira,0,class,3,4248,4249,0.0218,0.6102,0.5099,0.1071,0.0009
5,lira,0,class,4,3729,3729,0.0276,0.8333,0.5060,0.0976,0.0021
6,lira,0,class,5,3441,3441,0.0256,0.5574,0.5134,0.1014,0.0003
7,lira,0,class,6,2863,2864,0.0220,0.8750,0.5019,0.0870,0.0028
8,lira,0,class,7,2797,2798,0.0196,0.8000,0.5063,0.1123,0.0014
9,lira,0,class,8,2522,2523,0.0509,0.6875,0.5270,0.1023,0.0008
10,lira,0,class,9,2329,2330,0.0218,0.7000,0.4999,0.1005,0.0009
11,lira,1,Entire dataset,,36625,36632,0.0121,0.5618,0.5069,0.1056,0.0011
12,lira,1,class,0,2474,2474,0.0311,0.6316,0.5135,0.1152,0.0000
13,lira,1,class,1,6930,6931,0.0188,0.5455,0.4957,0.1014,0.0006
14,lira,1,class,2,5292,5293,0.0188,0.5833,0.5034,0.0975,0.0008
15,lira,1,class,3,4248,4249,0.0199,0.6316,0.4998,0.1017,0.0009
16,lira,1,class,4,3729,3729,0.0367,0.6667,0.5164,0.1062,0.0016
17,lira,1,class,5,3441,3441,0.0291,0.7778,0.5090,0.1110,0.0020
18,lira,1,class,6,2863,2864,0.0358,0.7143,0.5140,0.1149,0.0003
19,lira,1,class,7,2797,2798,0.0362,0.7500,0.5137,0.1144,0.0011
20,lira,1,class,8,2522,2523,0.0362,0.8750,0.5225,0.1233,0.0028
21,lira,1,class,9,2329,2330,0.0204,0.5714,0.5051,0.0983,0.0009
22,lira,2,Entire dataset,,36625,36632,0.0094,0.5157,0.5044,0.1012,0.0009
23,lira,2,class,0,2474,2474,0.0202,0.5357,0.5051,0.1011,0.0004
24,lira,2,class,1,6930,6931,0.0119,0.6087,0.5033,0.1055,0.0004
25,lira,2,class,2,5292,5293,0.0252,0.7143,0.4896,0.0943,0.0013
26,lira,2,class,3,4248,4249,0.0209,0.8571,0.5061,0.0977,0.0014
27,lira,2,class,4,3729,3729,0.0223,0.6667,0.5076,0.1105,0.0011
28,lira,2,class,5,3441,3441,0.0395,0.5724,0.5117,0.0956,0.0006
29,lira,2,class,6,2863,2864,0.0275,0.8333,0.5128,0.1048,0.0017
