,dataset,attack type,AUC,fpr@0.1,fpr@0.001
max CLASS=0,mnist,lira,0.5127,0.1148,0.0041
max CLASS=1,mnist,lira,0.5113,0.1083,0.0030
max CLASS=2,mnist,lira,0.5251,0.1192,0.0027
max CLASS=3,mnist,lira,0.5226,0.1178,0.0042
max CLASS=4,mnist,lira,0.5184,0.1181,0.0027
max CLASS=5,mnist,lira,0.5197,0.1207,0.0026
max CLASS=6,mnist,lira,0.5226,0.1183,0.0027
max CLASS=7,mnist,lira,0.5215,0.1159,0.0045
max CLASS=8,mnist,lira,0.5178,0.1159,0.0024
max CLASS=9,mnist,lira,0.5155,0.1204,0.0040
mean Entire dataset,svhn,lira,0.5077,0.1033,0.0011
mean CLASS=0,svhn,lira,0.5047,0.1001,0.0005
mean CLASS=1,svhn,lira,0.5039,0.1003,0.0008
mean CLASS=2,svhn,lira,0.5051,0.1041,0.0011
mean CLASS=3,svhn,lira,0.5086,0.1033,0.0012
mean CLASS=4,svhn,lira,0.5093,0.1033,0.0011
mean CLASS=5,svhn,lira,0.5150,0.1055,0.0010
mean CLASS=6,svhn,lira,0.5056,0.0997,0.0008
mean CLASS=7,svhn,lira,0.5052,0.1031,0.0013
mean CLASS=8,svhn,lira,0.5151,0.1090,0.0012
mean CLASS=9,svhn,lira,0.5110,0.1081,0.0008
std Entire dataset,svhn,lira,0.0021,0.0022,0.0002
std CLASS=0,svhn,lira,0.0071,0.0091,0.0007
std CLASS=1,svhn,lira,0.0056,0.0047,0.0004
std CLASS=2,svhn,lira,0.0058,0.0072,0.0006
std CLASS=3,svhn,lira,0.0061,0.0057,0.0007
std CLASS=4,svhn,lira,0.0074,0.0085,0.0009
std CLASS=5,svhn,lira,0.0061,0.0067,0.0010
std CLASS=6,svhn,lira,0.0082,0.0096,0.0008
std CLASS=7,svhn,lira,0.0080,0.0084,0.0012
std CLASS=8,svhn,lira,0.0072,0.0101,0.0011
std CLASS=9,svhn,lira,0.0077,0.0116,0.0011
max Entire dataset,svhn,lira,0.5113,0.1077,0.0017
max CLASS=0,svhn,lira,0.5219,0.1184,0.0028
max CLASS=1,svhn,lira,0.5124,0.1088,0.0020
max CLASS=2,svhn,lira,0.5168,0.1259,0.0025
max CLASS=3,svhn,lira,0.5193,0.1172,0.0026
max CLASS=4,svhn,lira,0.5286,0.1204,0.0032
max CLASS=5,svhn,lira,0.5317,0.1194,0.0052
max CLASS=6,svhn,lira,0.5276,0.1195,0.0028
max CLASS=7,svhn,lira,0.5173,0.1187,0.0054
max CLASS=8,svhn,lira,0.5282,0.1376,0.0040
max CLASS=9,svhn,lira,0.5245,0.1400,0.0043
average,average,,0.5089,0.1048,0.0012
