,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,29997,30003,0.0056,0.5607,0.5011,0.0998,0.0007
1,lira,0,class,0,2961,2962,0.0211,0.8000,0.5050,0.1071,0.0014
2,lira,0,class,1,3371,3371,0.0157,0.5116,0.4958,0.0923,0.0006
3,lira,0,class,2,2979,2979,0.0225,0.7647,0.5085,0.0994,0.0013
4,lira,0,class,3,3065,3066,0.0155,0.5161,0.4989,0.0936,0.0010
5,lira,0,class,4,2921,2921,0.0209,0.7273,0.4972,0.0938,0.0007
6,lira,0,class,5,2710,2711,0.0267,0.5357,0.5090,0.1022,0.0000
7,lira,0,class,6,2959,2959,0.0237,0.5833,0.5074,0.1105,0.0003
8,lira,0,class,7,3132,3133,0.0152,0.6471,0.5019,0.0948,0.0006
9,lira,0,class,8,2925,2926,0.0175,0.5169,0.4962,0.1053,0.0000
10,lira,0,class,9,2974,2975,0.0263,0.5357,0.4911,0.0952,0.0000
11,lira,1,Entire dataset,,29997,30003,0.0073,0.5513,0.5022,0.1034,0.0009
12,lira,1,class,0,2961,2962,0.0223,0.5692,0.5029,0.1209,0.0000
13,lira,1,class,1,3371,3371,0.0172,0.6250,0.4999,0.0967,0.0003
14,lira,1,class,2,2979,2979,0.0252,0.6111,0.5067,0.0963,0.0003
15,lira,1,class,3,3065,3066,0.0183,0.8000,0.5043,0.0995,0.0013
16,lira,1,class,4,2921,2921,0.0240,0.5378,0.4934,0.0924,0.0003
17,lira,1,class,5,2710,2711,0.0166,0.5926,0.5046,0.1148,0.0000
18,lira,1,class,6,2959,2959,0.0453,0.6000,0.5186,0.1038,0.0007
19,lira,1,class,7,3132,3133,0.0200,0.6087,0.4949,0.1015,0.0003
20,lira,1,class,8,2925,2926,0.0193,0.6265,0.5067,0.1063,0.0000
21,lira,1,class,9,2974,2975,0.0264,1.0000,0.4918,0.0989,0.0027
22,lira,2,Entire dataset,,29997,30003,0.0068,0.5208,0.5002,0.0959,0.0009
23,lira,2,class,0,2961,2962,0.0215,0.5417,0.4947,0.0888,0.0003
24,lira,2,class,1,3371,3371,0.0202,0.6667,0.5050,0.0952,0.0009
25,lira,2,class,2,2979,2979,0.0218,0.5139,0.5093,0.0953,0.0003
26,lira,2,class,3,3065,3066,0.0284,0.6667,0.4930,0.1047,0.0013
27,lira,2,class,4,2921,2921,0.0154,0.6250,0.5000,0.0962,0.0003
28,lira,2,class,5,2710,2711,0.0261,0.5108,0.5009,0.0904,0.0000
29,lira,2,class,6,2959,2959,0.0308,0.5024,0.4874,0.0912,0.0007
30,lira,2,class,7,3132,3133,0.0231,0.8333,0.5068,0.0971,0.0016
31,lira,2,class,8,2925,2926,0.0302,0.5244,0.5126,0.0998,0.0000
32,lira,2,class,9,2974,2975,0.0284,0.6000,0.4904,0.1079,0.0007
33,lira,3,Entire dataset,,29997,30003,0.0079,0.6087,0.5024,0.1005,0.0012
34,lira,3,class,0,2961,2962,0.0171,1.0000,0.4993,0.1013,0.0024
35,lira,3,class,1,3371,3371,0.0166,0.5185,0.5036,0.0931,0.0000
36,lira,3,class,2,2979,2979,0.0104,0.6471,0.5006,0.1027,0.0007
37,lira,3,class,3,3065,3066,0.0224,0.5693,0.5069,0.1142,0.0000
38,lira,3,class,4,2921,2921,0.0175,0.6250,0.5030,0.1003,0.0007
39,lira,3,class,5,2710,2711,0.0211,0.8000,0.5033,0.1181,0.0022
40,lira,3,class,6,2959,2959,0.0348,0.8000,0.4907,0.0926,0.0014
41,lira,3,class,7,3132,3133,0.0155,0.6875,0.5045,0.0967,0.0006
42,lira,3,class,8,2925,2926,0.0273,1.0000,0.4934,0.0906,0.0038
43,lira,3,class,9,2974,2975,0.0348,0.6667,0.5168,0.0948,0.0007
