,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,25000,25000,0.5378,1.0000,0.8669,0.5684,0.1238
1,lira,0,class,0,2500,2500,0.4896,1.0000,0.8395,0.5080,0.1156
2,lira,0,class,1,2500,2500,0.3696,1.0000,0.7735,0.4132,0.0712
3,lira,0,class,2,2500,2500,0.6536,1.0000,0.9150,0.6808,0.2432
4,lira,0,class,3,2500,2500,0.8048,1.0000,0.9639,0.8816,0.2820
5,lira,0,class,4,2500,2500,0.6200,1.0000,0.9032,0.6548,0.1912
6,lira,0,class,5,2500,2500,0.6996,1.0000,0.9341,0.7444,0.1896
7,lira,0,class,6,2500,2500,0.4844,1.0000,0.8381,0.5148,0.1508
8,lira,0,class,7,2500,2500,0.4808,1.0000,0.8342,0.5000,0.0900
9,lira,0,class,8,2500,2500,0.3728,1.0000,0.7696,0.3700,0.0552
10,lira,0,class,9,2500,2500,0.4672,1.0000,0.8191,0.4384,0.0572
11,lira,1,Entire dataset,,25000,25000,0.5409,1.0000,0.8678,0.5781,0.1251
12,lira,1,class,0,2500,2500,0.4816,1.0000,0.8366,0.5016,0.1288
13,lira,1,class,1,2500,2500,0.4204,1.0000,0.7971,0.4188,0.0716
14,lira,1,class,2,2500,2500,0.6540,1.0000,0.9142,0.6916,0.1416
15,lira,1,class,3,2500,2500,0.7960,1.0000,0.9615,0.8824,0.2240
16,lira,1,class,4,2500,2500,0.5952,1.0000,0.8930,0.6388,0.1276
17,lira,1,class,5,2500,2500,0.6960,1.0000,0.9341,0.7520,0.2256
18,lira,1,class,6,2500,2500,0.4672,1.0000,0.8277,0.5008,0.1008
19,lira,1,class,7,2500,2500,0.4628,1.0000,0.8285,0.5084,0.1280
20,lira,1,class,8,2500,2500,0.3912,1.0000,0.7833,0.4132,0.0936
21,lira,1,class,9,2500,2500,0.4736,1.0000,0.8286,0.4940,0.0820
22,lira,2,Entire dataset,,25000,25000,0.5291,1.0000,0.8652,0.5712,0.1257
23,lira,2,class,0,2500,2500,0.4780,1.0000,0.8392,0.5148,0.1448
24,lira,2,class,1,2500,2500,0.3776,1.0000,0.7706,0.3932,0.1060
25,lira,2,class,2,2500,2500,0.6572,1.0000,0.9202,0.7284,0.1744
26,lira,2,class,3,2500,2500,0.7880,1.0000,0.9607,0.8744,0.1948
27,lira,2,class,4,2500,2500,0.6096,1.0000,0.8983,0.6452,0.1208
28,lira,2,class,5,2500,2500,0.7076,1.0000,0.9381,0.7732,0.1804
