,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,30000,30000,0.0143,0.6458,0.5080,0.1017,0.0015
1,lira,0,class,0,3000,3000,0.0257,0.5556,0.5078,0.0953,0.0007
2,lira,0,class,1,3000,3000,0.0210,0.6364,0.5070,0.1033,0.0010
3,lira,0,class,2,3000,3000,0.0387,0.6667,0.5150,0.0910,0.0013
4,lira,0,class,3,3000,3000,0.0347,0.8000,0.5156,0.1100,0.0013
5,lira,0,class,4,3000,3000,0.0327,0.6429,0.5171,0.1140,0.0000
6,lira,0,class,5,3000,3000,0.0127,0.6400,0.5019,0.0930,0.0010
7,lira,0,class,6,3000,3000,0.0183,0.8333,0.5004,0.1070,0.0023
8,lira,0,class,7,3000,3000,0.0213,0.6667,0.5110,0.1067,0.0007
9,lira,0,class,8,3000,3000,0.0197,0.8000,0.5050,0.0990,0.0013
10,lira,0,class,9,3000,3000,0.0123,0.5455,0.5010,0.0980,0.0010
11,lira,1,Entire dataset,,30000,30000,0.0111,0.6200,0.5068,0.1000,0.0012
12,lira,1,class,0,3000,3000,0.0450,0.5281,0.5209,0.0997,0.0010
13,lira,1,class,1,3000,3000,0.0430,0.5714,0.4854,0.0983,0.0000
14,lira,1,class,2,3000,3000,0.0220,0.7143,0.5038,0.0943,0.0017
15,lira,1,class,3,3000,3000,0.0400,0.5625,0.5207,0.1067,0.0010
16,lira,1,class,4,3000,3000,0.0200,1.0000,0.5072,0.1033,0.0030
17,lira,1,class,5,3000,3000,0.0237,1.0000,0.5040,0.1007,0.0017
18,lira,1,class,6,3000,3000,0.0337,0.6034,0.5106,0.1073,0.0000
19,lira,1,class,7,3000,3000,0.0160,0.5167,0.5040,0.0980,0.0007
20,lira,1,class,8,3000,3000,0.0297,0.6512,0.5094,0.1170,0.0010
21,lira,1,class,9,3000,3000,0.0133,0.5455,0.4989,0.0940,0.0007
22,lira,2,Entire dataset,,30000,30000,0.0137,0.5645,0.5085,0.1058,0.0012
23,lira,2,class,0,3000,3000,0.0263,0.5390,0.5139,0.1133,0.0000
24,lira,2,class,1,3000,3000,0.0243,0.7778,0.4930,0.1040,0.0023
25,lira,2,class,2,3000,3000,0.0247,0.6364,0.5120,0.1033,0.0010
26,lira,2,class,3,3000,3000,0.0173,0.6364,0.4948,0.1040,0.0010
27,lira,2,class,4,3000,3000,0.0287,0.5533,0.5114,0.1020,0.0007
28,lira,2,class,5,3000,3000,0.0243,0.6452,0.5086,0.0997,0.0010
29,lira,2,class,6,3000,3000,0.0490,0.8000,0.5298,0.1243,0.0027
30,lira,2,class,7,3000,3000,0.0267,0.5385,0.5070,0.0923,0.0003
31,lira,2,class,8,3000,3000,0.0203,0.7500,0.5047,0.0977,0.0010
32,lira,2,class,9,3000,3000,0.0203,0.7000,0.5041,0.1047,0.0010
33,lira,3,Entire dataset,,30000,30000,0.0125,0.5904,0.5086,0.1098,0.0012
34,lira,3,class,0,3000,3000,0.0273,0.6875,0.5066,0.0940,0.0010
35,lira,3,class,1,3000,3000,0.0243,0.5340,0.5057,0.1097,0.0010
36,lira,3,class,2,3000,3000,0.0323,0.8571,0.5206,0.1247,0.0023
37,lira,3,class,3,3000,3000,0.0143,0.6250,0.4998,0.1070,0.0010
38,lira,3,class,4,3000,3000,0.0233,0.6875,0.5048,0.1147,0.0010
39,lira,3,class,5,3000,3000,0.0193,0.8333,0.5082,0.1093,0.0017
40,lira,3,class,6,3000,3000,0.0453,0.6066,0.5257,0.1277,0.0003
41,lira,3,class,7,3000,3000,0.0180,0.5435,0.5034,0.1070,0.0000
42,lira,3,class,8,3000,3000,0.0187,0.7500,0.5035,0.0880,0.0020
43,lira,3,class,9,3000,3000,0.0287,0.6111,0.5096,0.1093,0.0003
44,lira,4,Entire dataset,,30000,30000,0.0163,0.7561,0.5110,0.1071,0.0018
45,lira,4,class,0,3000,3000,0.0263,0.5455,0.5037,0.0937,0.0003
46,lira,4,class,1,3000,3000,0.0243,0.8889,0.4949,0.0957,0.0007
47,lira,4,class,2,3000,3000,0.0477,1.0000,0.5278,0.1063,0.0033
48,lira,4,class,3,3000,3000,0.0240,1.0000,0.5054,0.1157,0.0013
49,lira,4,class,4,3000,3000,0.0320,0.9231,0.5132,0.1147,0.0040
50,lira,4,class,5,3000,3000,0.0277,0.6250,0.5127,0.1030,0.0010
51,lira,4,class,6,3000,3000,0.0250,1.0000,0.5129,0.1083,0.0013
52,lira,4,class,7,3000,3000,0.0220,0.7037,0.5092,0.1057,0.0007
53,lira,4,class,8,3000,3000,0.0400,0.5264,0.5154,0.1097,0.0003
54,lira,4,class,9,3000,3000,0.0213,0.6923,0.5102,0.1047,0.0010
55,lira,5,Entire dataset,,30000,30000,0.0184,0.6312,0.5099,0.1048,0.0014
56,lira,5,class,0,3000,3000,0.0180,0.6400,0.5081,0.1057,0.0007
57,lira,5,class,1,3000,3000,0.0223,0.5689,0.5073,0.1057,0.0003
58,lira,5,class,2,3000,3000,0.0510,0.6364,0.5275,0.1200,0.0010
59,lira,5,class,3,3000,3000,0.0140,0.7273,0.5029,0.0967,0.0017
60,lira,5,class,4,3000,3000,0.0397,0.8000,0.5193,0.1053,0.0017
61,lira,5,class,5,3000,3000,0.0210,0.8000,0.5028,0.0970,0.0013
62,lira,5,class,6,3000,3000,0.0447,0.8000,0.5230,0.1053,0.0000
63,lira,5,class,7,3000,3000,0.0300,0.6000,0.5131,0.1030,0.0000
64,lira,5,class,8,3000,3000,0.0347,1.0000,0.4886,0.0973,0.0027
65,lira,5,class,9,3000,3000,0.0233,0.8333,0.5054,0.1070,0.0020
66,lira,6,Entire dataset,,30000,30000,0.0183,0.5663,0.5109,0.1048,0.0012
67,lira,6,class,0,3000,3000,0.0323,0.6957,0.5185,0.1253,0.0010
68,lira,6,class,1,3000,3000,0.0293,0.5882,0.5086,0.1073,0.0000
69,lira,6,class,2,3000,3000,0.0247,0.8000,0.5077,0.0963,0.0027
70,lira,6,class,3,3000,3000,0.0330,0.5762,0.5182,0.1173,0.0007
71,lira,6,class,4,3000,3000,0.0373,0.5882,0.5154,0.0937,0.0000
72,lira,6,class,5,3000,3000,0.0147,0.5526,0.4996,0.0940,0.0000
73,lira,6,class,6,3000,3000,0.0410,0.6667,0.5138,0.1083,0.0013
74,lira,6,class,7,3000,3000,0.0290,0.5305,0.5121,0.0970,0.0000
75,lira,6,class,8,3000,3000,0.0200,1.0000,0.5085,0.1127,0.0030
76,lira,6,class,9,3000,3000,0.0287,0.5714,0.5080,0.0940,0.0003
77,lira,7,Entire dataset,,30000,30000,0.0141,0.6364,0.5077,0.1047,0.0012
78,lira,7,class,0,3000,3000,0.0287,0.8333,0.5106,0.1013,0.0017
79,lira,7,class,1,3000,3000,0.0147,0.5174,0.5041,0.0960,0.0000
80,lira,7,class,2,3000,3000,0.0170,0.7105,0.5017,0.0977,0.0010
81,lira,7,class,3,3000,3000,0.0390,1.0000,0.5232,0.1080,0.0023
82,lira,7,class,4,3000,3000,0.0277,0.6667,0.5120,0.1150,0.0007
83,lira,7,class,5,3000,3000,0.0310,0.5652,0.4903,0.0883,0.0000
84,lira,7,class,6,3000,3000,0.0357,0.6154,0.5212,0.1233,0.0003
85,lira,7,class,7,3000,3000,0.0250,0.7778,0.5099,0.0997,0.0023
86,lira,7,class,8,3000,3000,0.0277,0.7500,0.5119,0.1160,0.0020
87,lira,7,class,9,3000,3000,0.0300,0.5556,0.4913,0.0897,0.0007
88,lira,8,Entire dataset,,30000,30000,0.0140,0.5641,0.5079,0.1049,0.0009
89,lira,8,class,0,3000,3000,0.0237,0.7778,0.5086,0.1060,0.0023
90,lira,8,class,1,3000,3000,0.0260,0.6875,0.4875,0.0890,0.0007
91,lira,8,class,2,3000,3000,0.0320,1.0000,0.5078,0.0957,0.0017
92,lira,8,class,3,3000,3000,0.0177,1.0000,0.4995,0.1113,0.0030
93,lira,8,class,4,3000,3000,0.0153,0.6063,0.5034,0.1103,0.0000
94,lira,8,class,5,3000,3000,0.0163,0.5373,0.5010,0.0993,0.0003
95,lira,8,class,6,3000,3000,0.0547,0.6486,0.5290,0.1077,0.0007
96,lira,8,class,7,3000,3000,0.0470,0.6667,0.5234,0.0977,0.0013
97,lira,8,class,8,3000,3000,0.0340,0.6667,0.5166,0.1053,0.0010
98,lira,8,class,9,3000,3000,0.0100,0.6667,0.4981,0.0960,0.0010
99,lira,9,Entire dataset,,30000,30000,0.0169,0.5926,0.5120,0.1098,0.0013
100,lira,9,class,0,3000,3000,0.0307,0.6667,0.5137,0.0967,0.0013
101,lira,9,class,1,3000,3000,0.0180,0.6207,0.5040,0.1023,0.0003
102,lira,9,class,2,3000,3000,0.0367,0.6667,0.5176,0.1157,0.0013
103,lira,9,class,3,3000,3000,0.0320,0.6875,0.5184,0.1167,0.0010
104,lira,9,class,4,3000,3000,0.0447,0.6000,0.5157,0.1107,0.0007
105,lira,9,class,5,3000,3000,0.0233,0.8333,0.5069,0.1100,0.0020
106,lira,9,class,6,3000,3000,0.0430,0.6029,0.5273,0.1067,0.0000
107,lira,9,class,7,3000,3000,0.0137,0.5421,0.5053,0.1043,0.0007
108,lira,9,class,8,3000,3000,0.0170,0.8333,0.5058,0.1107,0.0017
109,lira,9,class,9,3000,3000,0.0150,0.5189,0.5029,0.1010,0.0003
110,lira,10,Entire dataset,,30000,30000,0.0101,0.7174,0.5048,0.1038,0.0015
111,lira,10,class,0,3000,3000,0.0230,0.7273,0.5070,0.1197,0.0013
