,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
72,lira,24,Entire dataset,,3615,3617,0.0454,0.7143,0.5282,0.1142,0.0014
73,lira,24,class,0,2169,2170,0.0308,0.8333,0.5181,0.1176,0.0023
74,lira,24,class,1,1446,1447,0.0805,0.5591,0.5444,0.1148,0.0000
75,lira,25,Entire dataset,,3615,3617,0.0695,0.5984,0.5427,0.1300,0.0006
76,lira,25,class,0,2169,2170,0.0643,0.6842,0.5388,0.1323,0.0009
77,lira,25,class,1,1446,1447,0.0854,0.6190,0.5499,0.1293,0.0000
78,lira,26,Entire dataset,,3615,3617,0.0473,0.8750,0.5297,0.1228,0.0003
79,lira,26,class,0,2169,2170,0.0423,0.8182,0.5202,0.1033,0.0018
80,lira,26,class,1,1446,1447,0.0785,0.8571,0.5425,0.1266,0.0007
81,lira,27,Entire dataset,,3615,3617,0.0663,0.7115,0.5401,0.1228,0.0014
82,lira,27,class,0,2169,2170,0.0772,0.8571,0.5387,0.1217,0.0028
83,lira,27,class,1,1446,1447,0.0750,0.7143,0.5434,0.1162,0.0007
84,lira,28,Entire dataset,,3615,3617,0.0453,0.8333,0.5282,0.1187,0.0017
85,lira,28,class,0,2169,2170,0.0423,1.0000,0.5258,0.1083,0.0023
86,lira,28,class,1,1446,1447,0.0598,0.8000,0.5319,0.1155,0.0000
87,lira,29,Entire dataset,,3615,3617,0.0511,0.6752,0.5324,0.1201,0.0006
88,lira,29,class,0,2169,2170,0.0451,1.0000,0.5185,0.1060,0.0051
89,lira,29,class,1,1446,1447,0.0876,0.6526,0.5521,0.1355,0.0000
90,lira,30,Entire dataset,,3615,3617,0.0640,0.8571,0.5362,0.1192,0.0017
91,lira,30,class,0,2169,2170,0.0621,0.7273,0.5355,0.1157,0.0009
92,lira,30,class,1,1446,1447,0.0675,1.0000,0.5380,0.1238,0.0028
93,lira,31,Entire dataset,,3615,3617,0.0822,0.7391,0.5543,0.1389,0.0014
94,lira,31,class,0,2169,2170,0.0813,0.7805,0.5514,0.1282,0.0000
95,lira,31,class,1,1446,1447,0.0979,0.8000,0.5593,0.1445,0.0007
96,lira,32,Entire dataset,,3615,3617,0.0487,0.8333,0.5301,0.1151,0.0019
97,lira,32,class,0,2169,2170,0.0345,0.8000,0.5191,0.1130,0.0018
98,lira,32,class,1,1446,1447,0.0827,1.0000,0.5451,0.1183,0.0000
mean Entire dataset,lira,,,,,,0.0552,0.8251,0.5338,0.1213,0.0020
mean CLASS=0,lira,,,,,,0.0504,0.7931,0.5271,0.1161,0.0016
mean CLASS=1,lira,,,,,,0.0762,0.8610,0.5443,0.1274,0.0013
std Entire dataset,lira,,,,,,0.0112,0.1299,0.0076,0.0066,0.0014
std CLASS=0,lira,,,,,,0.0137,0.1131,0.0095,0.0100,0.0013
std CLASS=1,lira,,,,,,0.0148,0.1451,0.0102,0.0101,0.0015
max Entire dataset,lira,,,,,,0.0822,1.0000,0.5543,0.1389,0.0066
max CLASS=0,lira,,,,,,0.0813,1.0000,0.5514,0.1351,0.0055
max CLASS=1,lira,,,,,,0.0979,1.0000,0.5596,0.1501,0.0062
