,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,25000,25000,0.0062,0.5286,0.5007,0.0971,0.0006
1,lira,0,class,0,2500,2500,0.0244,0.5714,0.4956,0.0944,0.0004
2,lira,0,class,1,2500,2500,0.0240,0.5183,0.4954,0.0972,0.0004
3,lira,0,class,2,2500,2500,0.0300,0.5714,0.5135,0.1188,0.0004
4,lira,0,class,3,2500,2500,0.0392,0.5110,0.4837,0.0932,0.0004
5,lira,0,class,4,2500,2500,0.0132,0.6667,0.4998,0.0888,0.0000
6,lira,0,class,5,2500,2500,0.0184,0.7273,0.5025,0.1004,0.0008
7,lira,0,class,6,2500,2500,0.0228,1.0000,0.5029,0.0900,0.0012
8,lira,0,class,7,2500,2500,0.0208,0.6667,0.4958,0.0900,0.0012
9,lira,0,class,8,2500,2500,0.0292,0.6000,0.5074,0.0944,0.0008
10,lira,0,class,9,2500,2500,0.0288,0.6667,0.5089,0.1084,0.0012
11,lira,1,Entire dataset,,25000,25000,0.0090,0.5870,0.5040,0.1069,0.0012
12,lira,1,class,0,2500,2500,0.0384,0.8333,0.5145,0.1128,0.0004
13,lira,1,class,1,2500,2500,0.0304,0.6667,0.4840,0.0924,0.0016
14,lira,1,class,2,2500,2500,0.0232,0.5628,0.4966,0.1016,0.0000
15,lira,1,class,3,2500,2500,0.0272,0.5926,0.5101,0.1220,0.0004
16,lira,1,class,4,2500,2500,0.0244,0.5600,0.5085,0.1188,0.0008
17,lira,1,class,5,2500,2500,0.0136,1.0000,0.4996,0.1088,0.0016
18,lira,1,class,6,2500,2500,0.0180,1.0000,0.5031,0.0984,0.0012
19,lira,1,class,7,2500,2500,0.0248,1.0000,0.5102,0.1164,0.0012
20,lira,1,class,8,2500,2500,0.0208,0.6038,0.5058,0.0992,0.0004
21,lira,1,class,9,2500,2500,0.0264,0.8000,0.5061,0.0948,0.0016
22,lira,2,Entire dataset,,25000,25000,0.0049,0.5588,0.5008,0.1029,0.0008
23,lira,2,class,0,2500,2500,0.0148,0.6364,0.5014,0.1068,0.0008
24,lira,2,class,1,2500,2500,0.0320,0.5455,0.5098,0.1036,0.0004
25,lira,2,class,2,2500,2500,0.0196,0.6250,0.4984,0.1024,0.0008
26,lira,2,class,3,2500,2500,0.0240,0.5882,0.4952,0.1084,0.0004
27,lira,2,class,4,2500,2500,0.0228,0.6041,0.5003,0.1060,0.0004
28,lira,2,class,5,2500,2500,0.0228,0.6667,0.5013,0.0880,0.0004
29,lira,2,class,6,2500,2500,0.0252,0.6000,0.5082,0.1008,0.0000
30,lira,2,class,7,2500,2500,0.0160,0.6000,0.4981,0.1000,0.0004
31,lira,2,class,8,2500,2500,0.0184,0.8889,0.4995,0.1040,0.0032
32,lira,2,class,9,2500,2500,0.0204,0.5625,0.4945,0.0904,0.0000
33,lira,3,Entire dataset,,25000,25000,0.0055,0.5306,0.5007,0.0992,0.0010
34,lira,3,class,0,2500,2500,0.0256,0.6667,0.5032,0.0988,0.0016
35,lira,3,class,1,2500,2500,0.0176,0.6667,0.5056,0.0996,0.0004
36,lira,3,class,2,2500,2500,0.0256,0.8333,0.4903,0.0860,0.0020
37,lira,3,class,3,2500,2500,0.0476,0.7143,0.4769,0.0944,0.0020
38,lira,3,class,4,2500,2500,0.0296,1.0000,0.5137,0.1068,0.0024
39,lira,3,class,5,2500,2500,0.0196,0.5909,0.5061,0.1076,0.0000
40,lira,3,class,6,2500,2500,0.0428,0.5517,0.4856,0.1000,0.0000
41,lira,3,class,7,2500,2500,0.0144,0.5256,0.4999,0.0944,0.0000
42,lira,3,class,8,2500,2500,0.0348,0.6667,0.5133,0.1040,0.0016
43,lira,3,class,9,2500,2500,0.0264,0.8000,0.5081,0.1036,0.0032
44,lira,4,Entire dataset,,25000,25000,0.0114,0.5778,0.4955,0.0949,0.0011
45,lira,4,class,0,2500,2500,0.0268,0.8333,0.4935,0.0832,0.0020
46,lira,4,class,1,2500,2500,0.0388,0.7857,0.5156,0.1032,0.0008
47,lira,4,class,2,2500,2500,0.0200,0.5510,0.4990,0.1044,0.0004
48,lira,4,class,3,2500,2500,0.0412,0.6667,0.4852,0.0840,0.0004
49,lira,4,class,4,2500,2500,0.0232,0.6111,0.4908,0.0948,0.0004
50,lira,4,class,5,2500,2500,0.0300,0.8000,0.4924,0.0984,0.0020
51,lira,4,class,6,2500,2500,0.0280,0.5833,0.4881,0.0964,0.0000
52,lira,4,class,7,2500,2500,0.0320,0.6000,0.4918,0.0840,0.0008
53,lira,4,class,8,2500,2500,0.0248,0.6000,0.4939,0.0988,0.0008
