,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,36625,36632,0.0048,0.5019,0.4984,0.0981,0.0007
1,lira,0,class,0,2474,2474,0.0234,0.5067,0.4935,0.0885,0.0000
2,lira,0,class,1,6930,6931,0.0180,0.6061,0.4944,0.0990,0.0007
3,lira,0,class,2,5292,5293,0.0118,0.7000,0.5027,0.0954,0.0006
4,lira,0,class,3,4248,4249,0.0163,0.6154,0.4974,0.1040,0.0005
5,lira,0,class,4,3729,3729,0.0241,0.6667,0.5072,0.0952,0.0011
6,lira,0,class,5,3441,3441,0.0276,0.5714,0.4954,0.1046,0.0003
7,lira,0,class,6,2863,2864,0.0303,0.8571,0.4931,0.0975,0.0021
8,lira,0,class,7,2797,2798,0.0223,0.5625,0.4933,0.0933,0.0000
9,lira,0,class,8,2522,2523,0.0138,0.8000,0.5003,0.0916,0.0020
10,lira,0,class,9,2329,2330,0.0231,0.5202,0.5064,0.1056,0.0000
11,lira,1,Entire dataset,,36625,36632,0.0063,0.5517,0.5021,0.1009,0.0008
12,lira,1,class,0,2474,2474,0.0259,0.5882,0.5079,0.1043,0.0004
13,lira,1,class,1,6930,6931,0.0138,0.5581,0.4956,0.0931,0.0004
14,lira,1,class,2,5292,5293,0.0152,0.5938,0.5050,0.0986,0.0006
15,lira,1,class,3,4248,4249,0.0161,1.0000,0.4943,0.1003,0.0014
16,lira,1,class,4,3729,3729,0.0164,0.5088,0.5025,0.0936,0.0005
17,lira,1,class,5,3441,3441,0.0250,0.7273,0.5097,0.1075,0.0009
18,lira,1,class,6,2863,2864,0.0270,0.7500,0.4893,0.0912,0.0000
19,lira,1,class,7,2797,2798,0.0169,0.7500,0.5024,0.1051,0.0004
20,lira,1,class,8,2522,2523,0.0272,1.0000,0.5064,0.1019,0.0032
21,lira,1,class,9,2329,2330,0.0530,1.0000,0.5254,0.1065,0.0013
