,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,30000,30000,0.1726,1.0000,0.6421,0.2410,0.0460
1,lira,0,class,0,3000,3000,0.2767,1.0000,0.7155,0.3163,0.0563
2,lira,0,class,1,3000,3000,0.0673,1.0000,0.5382,0.1190,0.0150
3,lira,0,class,2,3000,3000,0.2560,1.0000,0.7048,0.3217,0.0460
4,lira,0,class,3,3000,3000,0.1797,1.0000,0.6376,0.2313,0.0450
5,lira,0,class,4,3000,3000,0.2687,1.0000,0.7056,0.3087,0.0640
6,lira,0,class,5,3000,3000,0.0980,1.0000,0.5718,0.1610,0.0217
7,lira,0,class,6,3000,3000,0.4087,1.0000,0.8031,0.4553,0.1083
8,lira,0,class,7,3000,3000,0.0990,1.0000,0.5834,0.1787,0.0200
9,lira,0,class,8,3000,3000,0.0483,1.0000,0.5372,0.1307,0.0257
10,lira,0,class,9,3000,3000,0.0877,1.0000,0.5678,0.1620,0.0337
11,lira,1,Entire dataset,,30000,30000,0.1723,1.0000,0.6459,0.2477,0.0473
12,lira,1,class,0,3000,3000,0.2810,1.0000,0.7173,0.3177,0.0850
13,lira,1,class,1,3000,3000,0.0577,1.0000,0.5415,0.1353,0.0150
14,lira,1,class,2,3000,3000,0.2293,1.0000,0.6890,0.2980,0.0573
15,lira,1,class,3,3000,3000,0.1843,1.0000,0.6481,0.2507,0.0313
16,lira,1,class,4,3000,3000,0.2777,1.0000,0.7126,0.3213,0.0737
17,lira,1,class,5,3000,3000,0.0797,1.0000,0.5618,0.1540,0.0187
18,lira,1,class,6,3000,3000,0.4293,1.0000,0.8144,0.4760,0.1033
19,lira,1,class,7,3000,3000,0.1100,1.0000,0.5820,0.1900,0.0283
20,lira,1,class,8,3000,3000,0.0813,1.0000,0.5625,0.1463,0.0267
21,lira,1,class,9,3000,3000,0.0927,1.0000,0.5694,0.1800,0.0413
22,lira,2,Entire dataset,,30000,30000,0.1662,1.0000,0.6376,0.2370,0.0451
23,lira,2,class,0,3000,3000,0.2597,1.0000,0.7019,0.3033,0.0507
24,lira,2,class,1,3000,3000,0.0363,1.0000,0.5209,0.1170,0.0190
